#VERB	HAS_PERPETRATOR	ROLE_OF_PERPETRATOR
abandon	_	_
abdicate	_	_
abhor	_	_
abolish	_	_
abscond	_	_
abuse	PERPETRATOR	A0
accuse	_	_
ache	_	_
admonish	_	_
adulterate	PERPETRATOR	A0
afflict	PERPETRATOR	A0
affront	_	_
aggravate	_	_
agonize	_	_
ail	_	_
alarm	_	_
alienate	_	_
allege	_	_
ambush	PERPETRATOR	A0
amputate	PERPETRATOR	A0
annihilate	PERPETRATOR	A0
annoy	_	_
antagonize	PERPETRATOR	A0
appall	_	_
argue	_	_
atrophy	_	_
avenge	_	_
ax	_	_
babble	_	_
bait	_	_
balk	_	_
bankrupt	_	_
bar	_	_
beg	_	_
beguile	_	_
belittle	PERPETRATOR	A0
bemoan	_	_
berate	PERPETRATOR	A0
beseech	_	_
besiege	PERPETRATOR	A0
besmirch	PERPETRATOR	A0
beware	_	_
bewilder	_	_
bewitch	PERPETRATOR	A0
bias	_	_
bicker	_	_
bitch	_	_
blackmail	PERPETRATOR	A0
blame	_	_
blaspheme	PERPETRATOR	A0
blast	PERPETRATOR	A0
blather	_	_
bleed	_	_
blind	PERPETRATOR	A0
blindside	PERPETRATOR	could_not_be_determined
block	_	_
blur	_	_
boggle	_	_
boil	PERPETRATOR	A0
bomb	PERPETRATOR	A0
bombard	PERPETRATOR	A0
botch	_	_
bother	PERPETRATOR	A0
bowdlerize	_	_
break	_	_
bristle	_	_
brutalize	PERPETRATOR	A0
buckle	PERPETRATOR	A0
bungle	_	_
burn	PERPETRATOR	A0
butcher	PERPETRATOR	A0
cackle	_	_
cajole	_	_
capitulate	_	_
caricature	_	_
carp	_	_
castigate	_	_
censure	_	_
chasten	_	_
chastise	_	_
cheapen	_	_
chide	_	_
chill	_	_
choke	PERPETRATOR	A0
clog	PERPETRATOR	A0
coerce	PERPETRATOR	A0
collude	PERPETRATOR	A0
commiserate	_	_
compel	_	_
complain	_	_
complicate	_	_
concern	_	_
condemn	_	_
condescend	_	_
confess	_	_
confound	_	_
conspire	PERPETRATOR	A0
constrain	_	_
consume	_	_
contradict	_	_
contravene	_	_
corrupt	PERPETRATOR	A0
cringe	_	_
cripple	PERPETRATOR	A0
crumble	_	_
crumple	PERPETRATOR	A0
crush	PERPETRATOR	A0
cry	_	_
cut	_	_
damn	_	_
dangle	_	_
dash	_	_
debase	PERPETRATOR	A0
debate	_	_
debilitate	PERPETRATOR	A0
decay	_	_
declaim	_	_
decline	_	_
decrease	_	_
decry	_	_
defame	PERPETRATOR	A0
defile	PERPETRATOR	A0
degrade	PERPETRATOR	A0
dehumanize	PERPETRATOR	A0
demolish	PERPETRATOR	A0
demoralize	PERPETRATOR	A0
deny	_	_
deplore	_	_
deprecate	_	_
depress	_	_
deprive	_	_
deride	PERPETRATOR	A0
desecrate	PERPETRATOR	A0
despair	_	_
destroy	PERPETRATOR	A0
devastate	PERPETRATOR	A0
deviate	_	_
differ	_	_
dig	_	_
digress	_	_
dilly-dally	_	_
dim	_	_
disagree	_	_
disallow	_	_
disapprove	_	_
disarm	_	_
disbelieve	_	_
disclaim	_	_
discombobulate	_	_
discomfit	_	_
disconcert	_	_
discourage	_	_
discredit	PERPETRATOR	A0
discriminate	PERPETRATOR	A0
disgust	_	_
dishonor	PERPETRATOR	A0
disillusion	_	_
disintegrate	PERPETRATOR	A0
dislike	_	_
dismay	_	_
disown	PERPETRATOR	A0
displace	PERPETRATOR	A0
displease	_	_
disprove	_	_
disrespect	PERPETRATOR	A0
dissemble	_	_
distract	_	_
distrust	_	_
divide	_	_
divorce	_	_
downgrade	_	_
dread	_	_
droop	_	_
dwindle	PERPETRATOR	A0
ejaculate	_	_
eliminate	PERPETRATOR	A0
endanger	PERPETRATOR	A0
enrage	_	_
enslave	PERPETRATOR	A0
entrap	PERPETRATOR	A0
envy	_	_
erase	PERPETRATOR	A0
erode	_	_
eschew	_	_
evade	_	_
eviscerate	PERPETRATOR	A0
exacerbate	PERPETRATOR	A0
exasperate	_	_
excuse	_	_
exhaust	_	_
exile	PERPETRATOR	A0
explode	_	_
exploit	PERPETRATOR	A0
exterminate	PERPETRATOR	A0
extort	PERPETRATOR	A0
fail	_	_
fall	_	_
falter	_	_
fault	_	_
faze	_	_
fear	_	_
fidget	_	_
fine	_	_
flirt	_	_
flounder	_	_
flout	PERPETRATOR	A0
force	_	_
foul	PERPETRATOR	A0
fraternize	_	_
freak	_	_
frighten	PERPETRATOR	A0
frustrate	_	_
fulminate	_	_
fumble	_	_
fuss	_	_
gainsay	_	_
gall	_	_
gamble	PERPETRATOR	A0
gape	_	_
gawk	_	_
gibber	_	_
glower	_	_
goad	PERPETRATOR	A0
goof	_	_
gossip	_	_
grapple	_	_
grate	_	_
grieve	_	_
grill	_	_
grimace	_	_
growl	_	_
grudge	_	_
grumble	_	_
haggle	_	_
hallucinate	_	_
harass	PERPETRATOR	could_not_be_determined
harden	_	_
hate	_	_
haunt	PERPETRATOR	A0
hazard	_	_
heckle	_	_
hedge	_	_
hoodwink	PERPETRATOR	A0
horrify	_	_
humiliate	PERPETRATOR	A0
hunger	_	_
hurt	PERPETRATOR	A0
impede	_	_
imperil	PERPETRATOR	could_not_be_determined
implode	_	_
importune	PERPETRATOR	A0
impose	_	_
impoverish	PERPETRATOR	A0
imprison	_	_
impugn	_	_
inculcate	_	_
indoctrinate	PERPETRATOR	A0
indulge	_	_
infest	PERPETRATOR	A0
inflict	PERPETRATOR	A0
infuriate	PERPETRATOR	A0
inhibit	_	_
injure	PERPETRATOR	A0
insult	PERPETRATOR	A0
interfere	PERPETRATOR	A0
interrupt	_	_
inundate	PERPETRATOR	A0
irk	_	_
isolate	PERPETRATOR	A0
jeopardize	PERPETRATOR	A0
jolt	_	_
keen	_	_
knock	PERPETRATOR	A0
lament	_	_
languish	_	_
laugh	_	_
leak	PERPETRATOR	A0
lecture	_	_
leer	PERPETRATOR	A0
lessen	_	_
loathe	_	_
long	_	_
loot	PERPETRATOR	A0
lose	_	_
lull	_	_
lurch	_	_
lurk	_	_
madden	_	_
manipulate	PERPETRATOR	A0
massacre	PERPETRATOR	A0
mean	_	_
mind	_	_
miscalculate	_	_
mishandle	_	_
misinterpret	_	_
mislead	PERPETRATOR	A0
misread	_	_
misunderstand	_	_
misuse	PERPETRATOR	A0
moan	_	_
molest	PERPETRATOR	A0
mope	_	_
mourn	_	_
mystify	_	_
nag	_	_
need	_	_
neglect	PERPETRATOR	A0
niggle	_	_
nix	_	_
numb	_	_
object	_	_
obsess	_	_
obstruct	_	_
oppose	_	_
ostracize	PERPETRATOR	A0
outrage	_	_
overact	_	_
overcome	_	_
overemphasize	_	_
overlook	_	_
overreach	_	_
overshadow	_	_
overstate	_	_
overwhelm	PERPETRATOR	A0
pain	_	_
parody	_	_
patronize	_	_
perish	_	_
perplex	_	_
pervert	PERPETRATOR	A0
petrify	PERPETRATOR	could_not_be_determined
pillage	PERPETRATOR	A0
pine	_	_
pity	_	_
plagiarize	PERPETRATOR	A0
plague	PERPETRATOR	A0
plunder	PERPETRATOR	A0
pollute	PERPETRATOR	A0
pout	_	_
prate	_	_
prattle	_	_
precipitate	_	_
preoccupy	_	_
pretend	PERPETRATOR	A0
prevaricate	_	_
prickle	_	_
procrastinate	_	_
prohibit	_	_
propagandize	_	_
protest	_	_
provoke	PERPETRATOR	A0
punish	_	_
puzzle	_	_
quack	_	_
quarrel	PERPETRATOR	A0
quit	_	_
rack	_	_
rage	_	_
rail	_	_
rampage	PERPETRATOR	A0
rankle	_	_
rant	_	_
rationalize	_	_
ravage	PERPETRATOR	A0
rebuke	_	_
recant	_	_
recoil	_	_
regress	_	_
regret	_	_
reject	_	_
relapse	_	_
renounce	_	_
repel	_	_
repress	PERPETRATOR	A0
reprimand	_	_
reproach	_	_
reprove	_	_
repudiate	_	_
repulse	_	_
restrict	_	_
retire	_	_
retreat	_	_
revile	_	_
revoke	_	_
rhapsodize	_	_
ridicule	PERPETRATOR	A0
rile	_	_
rival	_	_
rot	_	_
rupture	PERPETRATOR	A0
sabotage	PERPETRATOR	A0
sap	_	_
satirize	PERPETRATOR	A0
scandalize	PERPETRATOR	A0
scar	PERPETRATOR	A0
scare	PERPETRATOR	A0
scoff	PERPETRATOR	A0
scold	_	_
scorn	PERPETRATOR	A0
scowl	_	_
scream	_	_
screech	_	_
seethe	_	_
shadow	_	_
shake	_	_
shame	PERPETRATOR	A0
shatter	PERPETRATOR	A0
shiver	_	_
shock	PERPETRATOR	A0
shortchange	PERPETRATOR	A0
shroud	_	_
shrug	_	_
shun	_	_
sidetrack	_	_
skulk	_	_
slander	PERPETRATOR	could_not_be_determined
slap	PERPETRATOR	A0
slight	PERPETRATOR	A0
smolder	_	_
smother	PERPETRATOR	A0
smoulder	_	_
snarl	_	_
snatch	PERPETRATOR	A0
sneak	PERPETRATOR	A0
sneer	_	_
snub	_	_
sober	_	_
spank	PERPETRATOR	A0
split	_	_
spoil	PERPETRATOR	A0
spurn	_	_
sputter	_	_
squabble	_	_
squash	PERPETRATOR	A0
stab	PERPETRATOR	A0
stagger	_	_
stagnate	_	_
stain	_	_
starve	PERPETRATOR	A0
stifle	PERPETRATOR	A0
stigmatize	_	_
sting	_	_
strain	_	_
stress	_	_
strike	PERPETRATOR	A0
stumble	_	_
stump	_	_
stun	PERPETRATOR	A0
subjugate	PERPETRATOR	A0
subside	_	_
succumb	_	_
sulk	_	_
sully	PERPETRATOR	A0
sunder	PERPETRATOR	A0
suppress	PERPETRATOR	A0
swagger	_	_
swear	_	_
swoon	_	_
tarnish	PERPETRATOR	A0
tease	PERPETRATOR	A0
temper	_	_
terrorize	PERPETRATOR	A0
threaten	PERPETRATOR	A0
thwart	_	_
toil	_	_
torment	PERPETRATOR	A0
torture	PERPETRATOR	A0
traduce	PERPETRATOR	A0
transgress	PERPETRATOR	A0
trivialize	_	_
trouble	PERPETRATOR	A0
twist	PERPETRATOR	A0
underestimate	_	_
undo	_	_
unleash	PERPETRATOR	A0
unnerve	_	_
upbraid	_	_
vanish	_	_
victimize	PERPETRATOR	A0
vie	_	_
violate	PERPETRATOR	A0
vomit	_	_
wail	_	_
wallow	_	_
wane	_	_
warp	PERPETRATOR	A0
waste	PERPETRATOR	A0
weaken	PERPETRATOR	A0
weep	_	_
whimper	_	_
wilt	_	_
wince	_	_
withhold	PERPETRATOR	could_not_be_determined
wound	PERPETRATOR	A0
wreck	PERPETRATOR	A0
wrest	PERPETRATOR	A0
wrestle	_	_
writhe	_	_
wrong	PERPETRATOR	A0
yelp	_	_
